Date,Open,High,Low,Close,Adj Close,Volume
2023-06-06,11770.000000,11934.000000,11752.000000,11832.000000,11574.484375,1508766
2023-06-07,11780.000000,11876.000000,11671.098633,11754.000000,11498.181641,1227113
2023-06-08,11754.000000,11784.000000,11653.280273,11750.000000,11494.268555,1399930
2023-06-09,11858.000000,11868.000000,11710.000000,11712.000000,11457.095703,950706
2023-06-12,11846.000000,11858.000000,11668.000000,11830.000000,11572.527344,1391951
2023-06-13,11764.000000,11804.000000,11644.000000,11740.000000,11484.486328,2301469
2023-06-14,11716.000000,11800.000000,11502.000000,11510.000000,11259.492188,1781655
2023-06-15,11478.000000,11706.000000,11478.000000,11686.000000,11431.662109,2984914
2023-06-16,11720.000000,11878.000000,11718.000000,11788.000000,11531.441406,5017591
2023-06-19,11726.000000,11746.208984,11616.000000,11646.000000,11392.532227,2367195
2023-06-20,11642.000000,11776.000000,11624.000000,11636.000000,11382.750000,1206664
2023-06-21,11582.000000,11662.000000,11512.000000,11586.000000,11333.837891,1149726
2023-06-22,11458.000000,11600.000000,11344.000000,11600.000000,11347.533203,1939447
2023-06-23,11574.000000,11632.000000,11392.000000,11422.000000,11173.407227,1228732
2023-06-26,11378.000000,11450.000000,11239.099609,11292.000000,11046.237305,1066377
2023-06-27,11296.000000,11332.000000,11164.000000,11190.000000,10946.456055,1353695
2023-06-28,11300.000000,11338.000000,11184.000000,11234.000000,10989.499023,2293497
2023-06-29,11246.000000,11290.000000,11136.000000,11236.000000,10991.456055,2529983
2023-06-30,11248.000000,11344.000000,11180.000000,11276.000000,11030.584961,1408446
2023-07-03,10938.000000,11044.000000,10330.000000,10374.000000,10148.216797,4450775
2023-07-04,10360.000000,10664.000000,10278.000000,10580.000000,10349.733398,4015254
2023-07-05,10642.000000,10730.000000,10460.000000,10620.000000,10388.862305,2885595
2023-07-06,10538.000000,10566.000000,10294.000000,10328.000000,10103.217773,1911277
2023-07-07,10276.000000,10308.000000,10078.000000,10110.000000,9889.961914,1800903
2023-07-10,10150.000000,10244.000000,10110.000000,10180.000000,9958.438477,1255741
2023-07-11,10138.000000,10138.000000,10020.000000,10082.000000,9862.571289,1929561
2023-07-12,10228.000000,10276.000000,10084.000000,10248.000000,10024.958984,4075139
2023-07-13,10296.000000,10352.000000,10248.000000,10330.000000,10105.173828,1250510
2023-07-14,10328.000000,10554.000000,10322.500000,10324.000000,10099.304688,2472036
2023-07-17,10300.000000,10350.000000,10196.000000,10200.000000,9978.003906,1161172
2023-07-18,10262.000000,10310.000000,10206.000000,10280.000000,10056.262695,2368022
2023-07-19,10282.000000,10590.000000,10278.000000,10502.000000,10273.430664,2838541
2023-07-20,10488.000000,10710.000000,10486.000000,10696.000000,10463.208008,1845464
2023-07-21,10642.000000,10798.000000,10598.000000,10770.000000,10535.597656,1297138
2023-07-24,10800.000000,10858.000000,10707.362305,10780.000000,10545.379883,1168905
2023-07-25,10700.000000,10774.000000,10628.000000,10720.000000,10486.686523,1638957
2023-07-26,10742.000000,10790.000000,10578.000000,10670.000000,10437.774414,1181359
2023-07-27,10802.000000,10802.000000,10645.000000,10700.000000,10467.121094,3990122
2023-07-28,10800.000000,11264.000000,10796.000000,11058.000000,10817.329102,6645000
2023-07-31,11028.000000,11204.000000,11022.000000,11186.000000,10942.543945,1639504
2023-08-01,11176.000000,11254.000000,11148.000000,11196.000000,10952.326172,955804
2023-08-02,11040.000000,11140.000000,10874.000000,11096.000000,10854.501953,1371970
2023-08-03,11018.000000,11018.000000,10778.000000,10900.000000,10662.768555,4910009
2023-08-04,10952.000000,10968.000000,10784.000000,10910.000000,10672.550781,1506764
2023-08-07,10894.000000,10944.000000,10804.000000,10886.000000,10649.073242,853789
2023-08-08,10940.000000,11100.000000,10834.000000,11030.000000,10789.938477,1977417
2023-08-09,11110.000000,11212.000000,10980.642578,11182.000000,10938.630859,2545313
2023-08-10,11166.000000,11184.000000,11042.000000,11162.000000,10989.630859,2848203
2023-08-11,11066.000000,11124.000000,10912.000000,11030.000000,10859.668945,2243755
2023-08-14,11082.000000,11126.000000,10990.000000,11114.000000,10942.372070,898615
2023-08-15,11126.000000,11126.000000,10844.000000,10876.000000,10708.047852,1345290
2023-08-16,10884.000000,10916.000000,10738.000000,10878.000000,10710.016602,1997373
2023-08-17,10894.000000,10896.000000,10740.916992,10792.000000,10625.344727,1467968
2023-08-18,10742.000000,10754.000000,10580.000000,10658.000000,10493.414063,1807434
2023-08-21,10678.000000,10806.000000,10640.000000,10674.000000,10509.166992,4598853
2023-08-22,10690.000000,10768.000000,10634.000000,10698.000000,10532.795898,1105121
2023-08-23,10712.000000,10813.959961,10664.000000,10770.000000,10603.684570,2181058
2023-08-24,10824.000000,10846.000000,10742.000000,10750.000000,10583.993164,674424
2023-08-25,10706.000000,10752.000000,10612.000000,10660.000000,10495.382813,1044943
2023-08-29,10850.000000,10900.000000,10692.000000,10804.000000,10637.159180,2978845
2023-08-30,10824.000000,10866.000000,10734.000000,10734.000000,10568.240234,913945
2023-08-31,10714.000000,10802.000000,10660.933594,10662.000000,10497.352539,2367206
2023-09-01,10678.000000,10734.000000,10584.000000,10700.000000,10534.765625,759392
2023-09-04,10744.000000,10802.000000,10690.000000,10690.000000,10524.919922,510722
2023-09-05,10662.000000,10798.000000,10638.000000,10736.000000,10570.208984,1302060
2023-09-06,10622.000000,10660.000000,10544.000000,10606.000000,10442.216797,1283468
2023-09-07,10596.000000,10832.000000,10586.000000,10824.000000,10656.850586,1042230
2023-09-08,10840.000000,10884.000000,10798.000000,10846.000000,10678.510742,2242376
2023-09-11,10846.000000,10846.000000,10366.000000,10502.000000,10339.823242,2011900
2023-09-12,10558.000000,10724.000000,10542.000000,10684.000000,10519.012695,1423103
2023-09-13,10668.000000,10690.000000,10562.000000,10582.000000,10418.587891,1663183
2023-09-14,10614.000000,10820.000000,10566.000000,10814.000000,10647.004883,1797197
2023-09-15,10882.000000,11006.000000,10834.000000,10940.000000,10771.059570,4715880
2023-09-18,10942.000000,11028.679688,10684.000000,10728.000000,10562.333008,1017587
2023-09-19,10614.000000,10640.000000,10539.399414,10616.000000,10452.062500,2034190
2023-09-20,10792.000000,10950.000000,10742.000000,10950.000000,10780.904297,1568781
2023-09-21,10904.000000,11079.000000,10886.000000,10886.000000,10717.892578,5277686
2023-09-22,10910.000000,11190.000000,10888.000000,11046.000000,10875.421875,3547059
2023-09-25,11138.000000,11260.000000,11044.000000,11194.000000,11021.136719,3471175
2023-09-26,11156.000000,11262.000000,11120.000000,11164.000000,10991.599609,1606820
2023-09-27,11208.000000,11310.000000,11088.000000,11118.000000,10946.310547,1501177
2023-09-28,11118.000000,11190.000000,10878.000000,11006.000000,10836.040039,1491439
2023-09-29,11046.000000,11234.000000,11020.000000,11102.000000,10930.557617,1752888
2023-10-02,11060.000000,11188.000000,10870.000000,10950.000000,10780.904297,3816373
