Date,Open,High,Low,Close,Adj Close,Volume
2023-04-03,4201.500000,4232.500000,4175.500000,4232.500000,4081.537598,2717881
2023-04-04,4248.500000,4259.000000,4222.500000,4223.500000,4072.858643,5825908
2023-04-05,4233.000000,4288.500000,4222.500000,4288.500000,4135.539551,3772390
2023-04-06,4278.000000,4329.000000,4266.500000,4307.500000,4153.862793,3117901
2023-04-11,4306.000000,4314.500000,4274.000000,4297.000000,4143.737305,2920574
2023-04-12,4297.500000,4314.500000,4284.500000,4292.000000,4138.915039,2899631
2023-04-13,4294.000000,4316.000000,4287.500000,4316.000000,4162.058594,3189538
2023-04-14,4324.000000,4328.000000,4294.745117,4310.000000,4156.273438,3297701
2023-04-17,4320.500000,4363.750977,4307.500000,4357.000000,4201.596680,3428905
2023-04-18,4336.500000,4339.287109,4312.000000,4334.500000,4179.899414,4583381
2023-04-19,4331.500000,4360.000000,4325.500000,4341.500000,4186.649902,3389257
2023-04-20,4342.000000,4365.000000,4325.000000,4362.000000,4206.418457,2724755
2023-04-21,4365.000000,4421.000000,4365.000000,4392.000000,4235.348633,3808146
2023-04-24,4393.000000,4398.000000,4368.500000,4388.000000,4231.491211,5328225
2023-04-25,4371.500000,4418.750000,4365.000000,4416.000000,4258.492676,3777560
2023-04-26,4412.500000,4418.350098,4371.500000,4371.500000,4215.579590,4443072
2023-04-27,4430.500000,4466.004883,4418.000000,4431.500000,4273.439941,4829819
2023-04-28,4475.000000,4483.250000,4423.500000,4436.500000,4278.261230,5111793
2023-05-02,4440.000000,4466.101074,4411.500000,4443.500000,4285.011719,4194195
2023-05-03,4456.000000,4479.500000,4433.000000,4437.500000,4279.225586,3370101
2023-05-04,4428.000000,4428.375000,4392.500000,4406.000000,4248.849121,4327279
2023-05-05,4414.500000,4440.500000,4380.335938,4399.000000,4242.098633,3086059
2023-05-09,4399.000000,4407.500000,4351.500000,4368.500000,4212.686523,6040910
2023-05-10,4346.000000,4350.000000,4266.500000,4292.500000,4139.397461,3942968
2023-05-11,4294.500000,4347.500000,4294.500000,4339.500000,4184.720703,2906938
2023-05-12,4345.000000,4366.850098,4316.000000,4353.500000,4198.221680,3380867
2023-05-15,4371.000000,4378.000000,4326.000000,4334.000000,4179.416992,2113674
2023-05-16,4338.500000,4361.399902,4325.500000,4343.000000,4188.096191,3607212
2023-05-17,4330.000000,4366.500000,4300.500000,4315.000000,4161.094727,3895422
2023-05-18,4290.000000,4315.000000,4262.084961,4265.000000,4149.254883,3584813
2023-05-19,4272.000000,4293.000000,4261.500000,4271.000000,4155.092285,3851392
2023-05-22,4280.500000,4291.000000,4224.500000,4229.000000,4114.231934,5779303
2023-05-23,4217.500000,4236.500000,4209.500000,4216.000000,4101.584961,4003224
2023-05-24,4188.000000,4197.500000,4134.000000,4172.000000,4058.778809,3889479
2023-05-25,4175.500000,4175.500000,4131.500000,4167.500000,4054.401123,3327432
2023-05-26,4156.500000,4178.500000,4137.500000,4169.000000,4055.860596,4435669
2023-05-30,4163.500000,4168.000000,4030.500000,4045.000000,3935.225342,4558011
2023-05-31,4011.000000,4081.500000,4008.500000,4029.000000,3919.659668,12545232
2023-06-01,4046.000000,4062.000000,4017.000000,4018.000000,3908.958252,4723617
2023-06-02,4026.000000,4056.500000,4019.500000,4056.500000,3946.413574,5095705
2023-06-05,4089.500000,4104.500000,4053.500000,4071.000000,3960.519775,3498794
2023-06-06,4044.500000,4064.590088,4039.000000,4044.500000,3934.739258,3357651
2023-06-07,4039.500000,4069.000000,4017.000000,4025.000000,3915.768311,2685391
2023-06-08,4008.500000,4026.499023,3991.250000,3999.500000,3890.960205,5358094
2023-06-09,4022.500000,4022.500000,3946.291016,3970.000000,3862.260986,3620845
2023-06-12,3993.500000,4003.500000,3979.500000,3996.000000,3887.555176,3899515
2023-06-13,3992.000000,3999.500000,3934.500000,3965.500000,3857.883057,5696629
2023-06-14,3973.000000,3982.502930,3947.499023,3967.500000,3859.828857,5722625
2023-06-15,3975.500000,4033.500000,3969.000000,4021.000000,3911.876953,7540001
2023-06-16,4028.000000,4071.614990,4016.500000,4059.500000,3949.332031,12988833
2023-06-19,4051.000000,4070.500000,4023.000000,4034.000000,3924.523926,6517291
2023-06-20,4026.000000,4081.500000,4020.000000,4055.000000,3944.954102,2988239
2023-06-21,4012.000000,4072.500000,4012.000000,4070.000000,3959.546875,2493425
2023-06-22,4044.500000,4061.000000,4018.000000,4057.000000,3946.899658,4418856
2023-06-23,4060.000000,4090.000000,4050.000000,4090.000000,3979.004150,3400491
2023-06-26,4080.000000,4082.500000,4050.989990,4060.000000,3949.818604,4036345
2023-06-27,4057.000000,4075.500000,4051.500000,4071.500000,3961.006348,3477130
2023-06-28,4076.000000,4102.500000,4068.000000,4091.500000,3980.463623,4680185
2023-06-29,4100.000000,4107.474121,4077.000000,4085.000000,3974.140137,3040224
2023-06-30,4080.500000,4109.500000,4070.000000,4097.500000,3986.301025,4426970
2023-07-03,4094.000000,4138.500000,4083.000000,4115.500000,4003.812256,4703131
2023-07-04,4131.500000,4134.000000,4083.500000,4083.500000,3972.680664,2717240
2023-07-05,4090.000000,4105.000000,4069.500000,4077.500000,3966.843750,3509075
2023-07-06,4080.500000,4083.500000,4022.000000,4039.000000,3929.388184,4222553
2023-07-07,4016.500000,4023.500000,3986.000000,3990.500000,3882.204834,4761197
2023-07-10,3990.000000,4011.000000,3983.500000,3996.000000,3887.555176,3270581
2023-07-11,3980.000000,3991.000000,3948.000000,3960.500000,3853.018799,5182689
2023-07-12,3952.000000,3992.500000,3945.500000,3983.500000,3875.394531,6244144
2023-07-13,3989.500000,3989.500000,3964.000000,3974.000000,3866.152344,3381769
2023-07-14,3985.500000,4004.500000,3976.000000,3992.500000,3884.150146,2744830
2023-07-17,4002.000000,4031.000000,4001.000000,4019.500000,3910.417725,2334284
2023-07-18,3999.000000,4018.500000,3997.000000,4015.500000,3906.526123,2497873
2023-07-19,4040.500000,4111.500000,4038.500000,4085.000000,3974.140137,2967418
2023-07-20,4066.500000,4083.332031,4019.000000,4052.000000,3942.035645,5577737
2023-07-21,4056.000000,4084.500000,4044.500000,4082.000000,3971.221191,2809522
2023-07-24,4068.000000,4083.000000,3975.000000,4018.500000,3909.444824,5919387
2023-07-25,4179.000000,4248.290039,4170.710938,4193.000000,4079.208984,5982077
2023-07-26,4197.500000,4199.500000,4159.500000,4184.000000,4070.453613,4736989
2023-07-27,4201.000000,4223.500000,4180.500000,4180.500000,4067.048096,3499153
2023-07-28,4184.000000,4238.500000,4177.500000,4223.500000,4108.881348,7262884
2023-07-31,4223.000000,4228.009766,4191.000000,4191.000000,4077.263428,3019100
2023-08-01,4205.000000,4213.000000,4171.500000,4201.500000,4087.478760,2083158
2023-08-02,4204.000000,4204.000000,4159.000000,4181.500000,4068.020996,3850114
2023-08-03,4145.000000,4181.500000,4088.000000,4121.500000,4045.445557,5010100
2023-08-04,4112.000000,4117.000000,4076.500000,4090.500000,4015.017578,2422339
2023-08-07,4079.500000,4093.099121,4053.500000,4090.500000,4015.017578,2264597
2023-08-08,4090.000000,4109.500000,4068.500000,4087.500000,4012.072754,5476805
2023-08-09,4095.500000,4116.000000,4088.500000,4111.500000,4035.630127,4969642
2023-08-10,4119.000000,4140.500000,4110.500000,4140.500000,4064.094727,2453521
2023-08-11,4126.500000,4135.500000,4075.000000,4082.500000,4007.165283,5196039
2023-08-14,4095.500000,4109.000000,4071.000000,4096.000000,4020.416016,1980002
2023-08-15,4096.000000,4096.500000,4030.000000,4049.000000,3974.283203,2003031
2023-08-16,4046.500000,4061.000000,4028.000000,4036.500000,3962.014160,3808109
2023-08-17,4030.000000,4035.000000,4004.000000,4016.000000,3941.892334,2669827
2023-08-18,3996.000000,4004.399902,3962.000000,3980.000000,3906.556641,4704126
2023-08-21,3982.500000,4013.500000,3959.500000,3969.000000,3895.759766,2750266
2023-08-22,3958.500000,3977.500000,3943.500000,3961.500000,3888.397949,4904200
2023-08-23,3971.000000,4022.000000,3963.000000,3997.500000,3923.733887,2825312
2023-08-24,4005.000000,4039.500000,4000.000000,4019.000000,3944.836914,1209421
2023-08-25,4033.500000,4058.000000,4025.500000,4036.500000,3962.014160,1873302
2023-08-29,4037.000000,4080.000000,4037.000000,4061.000000,3986.061768,5529493
2023-08-30,4068.000000,4078.500000,4047.500000,4065.500000,3990.478760,1769849
2023-08-31,4065.000000,4084.500000,4042.000000,4042.000000,3967.412598,3987051
2023-09-01,4030.000000,4043.604980,4011.500000,4029.000000,3954.652344,2065549
2023-09-04,4035.500000,4055.500000,4021.500000,4026.000000,3951.707764,990048
2023-09-05,4011.500000,4029.000000,3986.000000,3994.500000,3920.789063,2556140
2023-09-06,3983.500000,3990.500000,3929.000000,3981.500000,3908.029053,2146560
2023-09-07,3982.000000,4031.500000,3960.710938,4019.500000,3945.327881,2489946
2023-09-08,4036.000000,4047.000000,4004.000000,4042.500000,3967.903320,7101500
2023-09-11,4049.000000,4063.000000,4022.000000,4048.500000,3973.792725,2756813
2023-09-12,4056.500000,4078.000000,4036.000000,4036.000000,3961.523438,2408351
2023-09-13,4033.000000,4042.500000,4009.500000,4033.000000,3958.578613,3122584
2023-09-14,4039.000000,4072.500000,4014.000000,4063.500000,3988.515625,2928266
2023-09-15,4085.500000,4127.000000,4078.000000,4103.500000,4027.777832,9074970
2023-09-18,4093.000000,4127.000000,4072.500000,4103.000000,4027.286865,3645192
